,0
0,AEROPORT CDG2 TGV ROISSY
1,AGDE
2,AGEN
3,AIME LA PLAGNE
4,AIX EN PROVENCE TGV
5,AIX LES BAINS LE REVARD
6,ALBERTVILLE
7,ANDORRE
8,ANGERS ST LAUD
9,ANGOULEME
10,ANNECY
11,ANNEMASSE
12,ANTIBES
13,ARCACHON
14,ARGELES SUR MER
15,ARGENTON SUR CREUSE
16,ARLES
17,ARRAS
18,ASSIER
19,AUBIN
20,AURAY
21,AUTERIVE
22,AVIGNON CENTRE
23,AVIGNON TGV
24,AX LES THERMES
25,BANYULS SUR MER
26,BAR LE DUC
27,BAYONNE
28,BEAUNE
29,BELFORT MONTBELIARD TGV
30,BELLEGARDE
31,BESANCON Franche Comté TGV
32,BESANCON VIOTTE
33,BETHUNE
34,BEZIERS
35,BIARRITZ
36,BORDEAUX ST JEAN
37,BOULOGNE VILLE
38,BOURG EN BRESSE
39,BREST
40,BRIANCON
41,BRIVE LA GAILLARDE
42,CAHORS
43,CALAIS FRETHUN
44,CANNES
45,CAPDENAC
46,CARCASSONNE
47,CASTELNAUDARY
48,CAUSSADE TARN ET GARONNE
49,CERBERE
50,CHALON SUR SAONE
51,CHALONS EN CHAMPAGNE
52,CHAMBERY CHALLES LES EAUX
53,CHAMPAGNE ARDENNE
54,CHARLEVILLE MEZIERES
55,CHATEAUROUX
56,CHATELLERAULT
57,CHORGES
58,CLERMONT FERRAND
59,CLUSES 74
60,COLLIOURE
61,COLMAR
62,CORBIERES LES AUBRAIS ORLEANS
63,CORBIERES VIERZON VILLE
64,CRANSAC
65,CREST
66,CROIX WASQUEHAL
67,DAX
68,DIE
69,DIJON VILLE
70,DOL DE BRETAGNE
71,DOLE VILLE
72,DOUAI
73,DUNKERQUE
74,ELNE
75,EMBRUN
76,EPINAL
77,ETAPLES LE TOUQUET
78,EVIAN LES BAINS
79,FACTURE BIGANOS
80,FIGEAC
81,FOIX
82,FRASNE
83,FUTUROSCOPE
84,GAP
85,GOURDON
86,GRAMAT
87,GRENOBLE
88,GUINGAMP
89,HAZEBROUCK
90,HENDAYE
91,ISSOUDUN
92,L'ARGENTIERE LES ECRINS (05)
93,LA BAULE ESCOUBLAC
94,LA ROCHE SUR YON
95,LA ROCHELLE VILLE
96,LA SOUTERRAINE
97,LAMBALLE
98,LANDERNEAU
99,LANDRY
100,LANNION
101,LATOUR DE CAROL ENVEITG
102,LAVAL
103,LE CREUSOT MONTCEAU MONTCHANIN
104,LE CROISIC
105,LE HAVRE
106,LE MANS
107,LE POULIGUEN
108,LENS
109,LES ARCS DRAGUIGNAN
110,LES CABANNES
111,LES SABLES D'OLONNE
112,LEZIGNAN
113,LIBOURNE
114,LILLE EUROPE
115,LILLE FLANDRES
116,LIMOGES BENEDICTINS
117,LORIENT
118,LORRAINE TGV
119,LOURDES
120,LUC EN DIOIS
121,LUNEVILLE
122,LUZENAC GARANOU
123,LYON (gares intramuros)
124,LYON ST EXUPERY
125,Luxembourg
126,MACON LOCHE TGV
127,MACON VILLE
128,MANTES LA JOLIE
129,MARMANDE
130,MARNE LA VALLEE CHESSY
131,MARSEILLE BLANCARDE
132,MARSEILLE ST CHARLES
133,MASSY PALAISEAU
134,MASSY TGV
135,MERENS LES VALS
136,METZ VILLE
137,MEUSE TGV
138,MIRAMAS
139,MODANE
140,MONTAUBAN VILLE BOURBON
141,MONTBARD
142,MONTDAUPHIN GUILLESTRE
143,MONTELIMAR GARE SNCF
144,MONTPELLIER SAINT ROCH
145,MONTPELLIER SUD DE FRANCE
146,MORLAIX
147,MOULINS SUR ALLIER
148,MOUTIERS SALINS BRIDES L BAINS
149,MULHOUSE VILLE
150,NANCY
151,NANTES
152,NARBONNE
153,NEVERS
154,NICE VILLE
155,NIMES
156,NIORT
157,NURIEUX
158,ORANGE
159,ORTHEZ
160,PAMIERS
161,PARIS (intramuros)
162,PAU
163,PERPIGNAN
164,PLOUARET TREGOR
165,POITIERS
166,PORNICHET
167,PORT VENDRES VILLE
168,PORTE PUYMORENS
169,QUIMPER
170,QUIMPERLE
171,RANG DU FLIERS VERTON
172,REDON
173,REIMS
174,REMIREMONT
175,RENNES
176,RETHEL
177,RIOM CHATEL GUYON
178,ROCAMADOUR PADIRAC
179,RODEZ
180,ROSPORDEN
181,ROUBAIX
182,ROUEN RIVE DROITE
183,SABLE
184,SALLANCHES COMBLOUX MEGEVE
185,SARREBOURG
186,SAUMUR
187,SAVERDUN
188,SAVERNE
189,SEDAN
190,SELESTAT
191,SETE
192,SOUILLAC
193,ST AVRE LA CHAMBRE
194,ST BRIEUC
195,ST CHRISTOPHE
196,ST DENIS PRES MARTEL
197,ST DIE DES VOSGES
198,ST ETIENNE CHATEAUCREUX
199,ST GERMAIN DES FOSSES
200,ST JEAN DE LUZ CIBOURE
201,ST JEAN DE MAURIENNE ARVAN
202,ST MAIXENT DEUX SEVRES
203,ST MALO
204,ST MICHEL VALLOIRE
205,ST NAZAIRE
206,ST PIERRE DES CORPS
207,ST RAPHAEL VALESCURE
208,STRASBOURG
209,SURGERES
210,TARASCON SUR ARIEGE
211,TARBES
212,TGV HAUTE PICARDIE
213,THIONVILLE
214,THONON LES BAINS
215,TOULON
216,TOULOUSE MATABIAU
217,TOURCOING
218,TOURS
219,UZERCHE
220,VALENCE TGV RHONE ALPES SUD
221,VALENCE VILLE
222,VALENCIENNES
223,VANNES
224,VENDOME VILLIERS SUR LOIR
225,VERSAILLES CHANTIERS
226,VEYNES DEVOLUY
227,VICHY
228,VITRE
229,VITRY LE FRANCOIS GARE
230,VIVIEZ DECAZEVILLE
