,0
0,AEROPORT CDG2 TGV ROISSY
1,AGDE
2,AGEN
3,AIME LA PLAGNE
4,AIX EN PROVENCE TGV
5,AIX LES BAINS LE REVARD
6,ALBERTVILLE
7,ALBI MADELEINE
8,ALBI VILLE
9,ANDORRE
10,ANGERS ST LAUD
11,ANGOULEME
12,ANNECY
13,ANNEMASSE
14,ANTIBES
15,ARCACHON
16,ARGELES SUR MER
17,ARGENTON SUR CREUSE
18,ARLES
19,ARRAS
20,ASSIER
21,AUBIN
22,AURAY
23,AUTERIVE
24,AVIGNON CENTRE
25,AVIGNON TGV
26,AX LES THERMES
27,BANYULS SUR MER
28,BAR LE DUC
29,BAYONNE
30,BEAUNE
31,BELFORT MONTBELIARD TGV
32,BELLEGARDE
33,BESANCON Franche Comté TGV
34,BESANCON VIOTTE
35,BETHUNE
36,BEZIERS
37,BIARRITZ
38,BORDEAUX ST JEAN
39,BOULOGNE VILLE
40,BOURG EN BRESSE
41,BOURG ST MAURICE
42,BREST
43,BRIANCON
44,BRIVE LA GAILLARDE
45,CAHORS
46,CALAIS FRETHUN
47,CANNES
48,CAPDENAC
49,CARCASSONNE
50,CARMAUX
51,CASTELNAUDARY
52,CAUSSADE TARN ET GARONNE
53,CERBERE
54,CHALON SUR SAONE
55,CHALONS EN CHAMPAGNE
56,CHAMBERY CHALLES LES EAUX
57,CHAMPAGNE ARDENNE
58,CHARLEVILLE MEZIERES
59,CHATEAUROUX
60,CHATELLERAULT
61,CHORGES
62,CLERMONT FERRAND
63,CLUSES 74
64,COLLIOURE
65,COLMAR
66,CORBIERES LES AUBRAIS ORLEANS
67,CORBIERES VIERZON VILLE
68,CRANSAC
69,CREST
70,CROIX WASQUEHAL
71,DAX
72,DIE
73,DIJON VILLE
74,DOL DE BRETAGNE
75,DOLE VILLE
76,DOUAI
77,DUNKERQUE
78,ELNE
79,EMBRUN
80,EPINAL
81,ETAPLES LE TOUQUET
82,EVIAN LES BAINS
83,FACTURE BIGANOS
84,FIGEAC
85,FOIX
86,FRASNE
87,FUTUROSCOPE
88,GAP
89,GOURDON
90,GRAMAT
91,GRENOBLE
92,GUINGAMP
93,HAZEBROUCK
94,HENDAYE
95,HYERES
96,ISSOUDUN
97,L'ARGENTIERE LES ECRINS (05)
98,LA BAULE ESCOUBLAC
99,LA ROCHE SUR YON
100,LA ROCHELLE VILLE
101,LA SOUTERRAINE
102,LAMBALLE
103,LANDERNEAU
104,LANDRY
105,LANNION
106,LATOUR DE CAROL ENVEITG
107,LAVAL
108,LE CREUSOT MONTCEAU MONTCHANIN
109,LE CROISIC
110,LE HAVRE
111,LE MANS
112,LE POULIGUEN
113,LENS
114,LES ARCS DRAGUIGNAN
115,LES CABANNES
116,LES SABLES D'OLONNE
117,LEUCATE LA FRANQUI
118,LEZIGNAN
119,LIBOURNE
120,LILLE EUROPE
121,LILLE FLANDRES
122,LIMOGES BENEDICTINS
123,LORIENT
124,LORRAINE TGV
125,LOURDES
126,LUC EN DIOIS
127,LUNEVILLE
128,LYON (gares intramuros)
129,LYON ST EXUPERY
130,Luxembourg
131,MACON LOCHE TGV
132,MACON VILLE
133,MANTES LA JOLIE
134,MARMANDE
135,MARNE LA VALLEE CHESSY
136,MARSEILLE BLANCARDE
137,MARSEILLE ST CHARLES
138,MASSY PALAISEAU
139,MASSY TGV
140,MERENS LES VALS
141,METZ VILLE
142,MEUSE TGV
143,MIRAMAS
144,MODANE
145,MONTAUBAN VILLE BOURBON
146,MONTBARD
147,MONTDAUPHIN GUILLESTRE
148,MONTELIMAR GARE SNCF
149,MONTPELLIER SAINT ROCH
150,MONTPELLIER SUD DE FRANCE
151,MORLAIX
152,MOULINS SUR ALLIER
153,MOUTIERS SALINS BRIDES L BAINS
154,MULHOUSE VILLE
155,NANCY
156,NANTES
157,NARBONNE
158,NEVERS
159,NICE VILLE
160,NIMES
161,NIORT
162,NURIEUX
163,ORANGE
164,ORTHEZ
165,PAMIERS
166,PARIS (intramuros)
167,PAU
168,PERPIGNAN
169,PLOUARET TREGOR
170,POITIERS
171,PORNICHET
172,PORT LA NOUVELLE
173,PORT VENDRES VILLE
174,PORTE PUYMORENS
175,QUIMPER
176,QUIMPERLE
177,RANG DU FLIERS VERTON
178,REDON
179,REIMS
180,REMIREMONT
181,RENNES
182,RETHEL
183,RIOM CHATEL GUYON
184,ROCAMADOUR PADIRAC
185,RODEZ
186,ROSPORDEN
187,ROUBAIX
188,ROUEN RIVE DROITE
189,SABLE
190,SALLANCHES COMBLOUX MEGEVE
191,SARREBOURG
192,SAUMUR
193,SAVERDUN
194,SAVERNE
195,SEDAN
196,SELESTAT
197,SETE
198,SOUILLAC
199,ST AVRE LA CHAMBRE
200,ST BRIEUC
201,ST CHRISTOPHE
202,ST DENIS PRES MARTEL
203,ST DIE DES VOSGES
204,ST ETIENNE CHATEAUCREUX
205,ST GERMAIN DES FOSSES
206,ST GERVAIS LES BAINS LE FAYET
207,ST JEAN DE LUZ CIBOURE
208,ST JEAN DE MAURIENNE ARVAN
209,ST MAIXENT DEUX SEVRES
210,ST MALO
211,ST MICHEL VALLOIRE
212,ST NAZAIRE
213,ST PIERRE DES CORPS
214,ST RAPHAEL VALESCURE
215,STRASBOURG
216,SURGERES
217,TARASCON SUR ARIEGE
218,TARBES
219,TGV HAUTE PICARDIE
220,THIONVILLE
221,THONON LES BAINS
222,TOULON
223,TOULOUSE MATABIAU
224,TOURCOING
225,TOURS
226,UZERCHE
227,VALENCE TGV RHONE ALPES SUD
228,VALENCE VILLE
229,VALENCIENNES
230,VANNES
231,VENDOME VILLIERS SUR LOIR
232,VERSAILLES CHANTIERS
233,VEYNES DEVOLUY
234,VICHY
235,VITRE
236,VITRY LE FRANCOIS GARE
237,VIVIEZ DECAZEVILLE
